,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
374,Fernandopolis,0,BR,1563990895,33,-20.28,-50.25,85.87,8.32
375,Wewak,64,PG,1563990896,90,-3.55,143.63,75.61,5.44
376,Fort-Shevchenko,14,KZ,1563990897,58,44.51,50.26,82.45,26.93
377,Mariel,75,CU,1563990898,59,22.99,-82.75,89.6,6.93
378,Buraydah,0,SA,1563990899,18,26.33,43.97,102.2,4.7
379,Ilulissat,75,GL,1563990901,81,69.22,-51.1,44.6,4.7
380,Zhuanghe,86,CN,1563990902,32,39.7,122.97,81.0,1.99
381,Pyapon,100,MM,1563990904,89,16.29,95.68,78.13,8.34
382,Columbia,40,US,1563990665,54,34.0,-81.03,84.99,9.17
383,Matara,39,BI,1563990906,77,-3.48,29.48,53.29,3.65
384,Tilichiki,68,RU,1563990908,90,60.47,166.1,43.21,4.25
385,Hauterive,75,CA,1563990909,55,49.18,-68.27,64.4,17.22
386,Enugu,88,NG,1563990910,90,6.45,7.5,77.41,4.03
387,Nova Soure,22,BR,1563990911,54,-11.24,-38.48,80.29,13.85
388,Xai-Xai,0,MZ,1563990912,67,-25.04,33.64,68.95,12.77
389,Briceni,7,MD,1563990914,66,48.36,27.08,73.99,8.01
390,Gazli,0,UZ,1563990915,19,40.13,63.45,91.27,14.16
391,Bouna,70,CI,1563990916,79,9.27,-3.0,78.85,5.35
392,Babat,79,ID,1563990917,88,-7.1,112.18,68.59,3.24
393,Fengcheng,96,CN,1563990918,98,40.45,124.07,73.99,3.15
394,Poum,40,MK,1563990920,38,41.28,20.71,77.0,5.82
395,Harper,40,US,1563990921,36,30.3,-99.24,87.01,10.29
396,Tutoia,40,BR,1563990922,47,-2.76,-42.27,95.0,9.17
397,Durban,57,CA,1563990923,71,51.93,-101.44,76.87,5.82
398,Nishihara,20,JP,1563990924,94,35.74,139.53,81.0,1.95
399,Misratah,0,LY,1563990926,77,32.38,15.09,79.93,9.89
400,Riyadh,0,SA,1563990844,11,24.63,46.72,102.2,6.93
401,Aflao,20,TG,1563990928,78,6.12,1.19,80.6,12.75
402,Marsh Harbour,72,BS,1563990641,75,26.54,-77.06,83.89,14.52
403,Wenatchee,1,US,1563990930,30,47.42,-120.31,75.0,17.22
404,Kuching,75,MY,1563990931,100,1.56,110.34,77.0,1.12
405,Sawtell,40,AU,1563990933,72,-30.38,153.1,59.0,10.29
406,Dikson,58,RU,1563990683,97,73.51,80.55,36.19,9.75
407,Zilair,1,RU,1563990935,91,52.23,57.44,57.79,4.63
408,Te Anau,69,NZ,1563990753,82,-45.41,167.72,40.51,1.07
409,Cervo,0,BR,1563990937,46,-22.19,-46.24,71.6,2.24
410,Galesong,4,ID,1563990939,78,-5.32,119.37,77.59,24.72
411,Port Hedland,96,AU,1563990940,30,-20.31,118.58,69.8,6.93
412,Halifax,90,CA,1563990661,77,44.65,-63.58,73.0,1.54
413,Bethel,90,US,1563990927,87,60.79,-161.76,55.4,8.05
414,Pacific Grove,1,US,1563990944,68,36.62,-121.92,93.0,5.82
415,Damietta,0,EG,1563990686,74,31.42,31.81,84.2,14.99
416,Grants Pass,1,US,1563990786,49,42.44,-123.33,73.99,3.0
417,Kenora,0,CA,1563990948,73,49.76,-94.48,77.0,8.05
418,Lentekhi,21,GE,1563990949,93,42.79,42.72,50.23,1.21
419,Marica,0,BR,1563990950,69,-22.92,-42.82,93.2,5.82
420,Avera,40,US,1563990952,45,33.19,-82.53,86.0,9.17
421,Camacha,20,PT,1563990953,73,33.08,-16.33,77.0,11.41
422,Walvis Bay,0,NA,1563990955,64,-22.95,14.51,69.8,6.93
423,At-Bashi,0,KG,1563990957,47,41.17,75.81,57.61,3.78
424,Tondano,40,ID,1563990958,88,1.3,124.91,75.2,2.24
425,Do Gonbadan,0,IR,1563990959,28,30.36,50.8,95.0,2.24
426,Ketchikan,90,US,1563990922,100,55.34,-131.65,55.4,14.99
427,Rio Gallegos,0,AR,1563990963,70,-51.62,-69.22,42.8,9.17
428,Abnub,0,EG,1563990964,32,27.27,31.15,96.8,13.87
429,Grand-Bourg,75,GP,1563990965,66,15.88,-61.31,87.8,17.22
430,Tezu,100,IN,1563990967,97,27.93,96.16,70.75,2.3
431,Tuatapere,70,NZ,1563990876,96,-46.13,167.69,36.0,1.99
432,Auki,43,NG,1563990969,54,12.18,6.51,85.87,4.79
433,Ullapool,82,GB,1563990970,75,57.9,-5.16,72.0,1.99
434,La Asuncion,50,AR,1563990971,39,-26.05,-65.39,44.11,6.91
435,Yichang,47,CN,1563990973,94,30.77,111.32,71.47,3.27
436,Minna,71,NG,1563990974,88,9.62,6.55,77.95,1.1
437,Beloha,0,MG,1563990975,73,-25.17,45.06,63.91,4.59
438,Cubuk,40,TR,1563990977,43,40.24,33.03,75.2,9.17
439,Tiarei,20,PF,1563990979,78,-17.53,-149.33,78.8,6.93
440,Venafro,0,IT,1563990980,38,41.48,14.05,95.0,13.87
441,Iqaluit,75,CA,1563990981,80,63.75,-68.52,41.0,10.29
442,Nalut,0,LY,1563990982,12,31.86,10.98,87.49,12.26
443,Sumbe,90,AO,1563990983,84,-11.2,13.84,71.6,9.17
444,Vestmannaeyjar,40,IS,1563990985,100,63.44,-20.27,53.6,9.17
445,Bansko,78,MK,1563990986,57,41.39,22.75,72.01,2.82
446,Vanino,100,RU,1563990987,75,53.93,40.55,66.0,1.01
447,Namatanai,100,PG,1563990988,87,-3.66,152.44,76.87,24.0
448,Nieuw Nickerie,1,SR,1563990990,66,5.94,-56.99,83.17,8.3
449,Airai,60,TL,1563990992,83,-8.93,125.41,66.07,5.28
450,Gushikawa,40,JP,1563990993,74,26.35,127.87,82.4,3.36
451,Ostrovnoy,26,RU,1563990994,74,68.05,39.51,62.47,13.82
452,Lyubim,100,RU,1563990995,98,58.36,40.69,61.57,6.58
453,Maryville,1,US,1563990707,47,35.76,-83.97,82.0,5.86
454,Vaasa,0,FI,1563990998,64,63.1,21.62,73.99,6.93
455,Merauke,38,ID,1563990999,74,-8.49,140.4,77.41,25.08
456,San Ignacio,83,PE,1563991000,76,-5.15,-79.0,72.55,3.67
457,Nome,40,US,1563991001,51,30.04,-94.42,84.0,5.82
458,Czersk,58,PL,1563991002,71,53.8,17.98,77.0,3.47
459,Yerbogachen,3,RU,1563991004,64,61.28,108.01,58.51,1.72
460,Kargasok,59,RU,1563991006,87,59.06,80.87,56.71,4.65
461,Homer,90,US,1563991007,82,59.64,-151.54,57.99,5.82
462,Bay Roberts,90,CA,1563991008,93,47.58,-53.28,68.0,6.93
463,Marawi,92,PH,1563991010,95,8.0,124.29,73.99,5.01
464,Vostok,100,RU,1563991011,98,46.45,135.83,66.07,5.17
465,La Tuque,0,CA,1563991012,35,47.44,-72.79,71.11,3.62
466,Saint-Louis,0,SN,1563991013,70,16.03,-16.5,86.0,13.87
467,Matagami,77,NG,1563991014,89,9.67,8.4,72.19,3.2
468,Pangody,74,RU,1563991016,55,65.85,74.49,53.47,18.57
469,Tevaitoa,3,PF,1563991017,85,-16.78,-151.5,79.03,10.76
470,Tanout,99,NE,1563991018,23,14.97,8.88,96.13,9.44
471,Coahuayana,6,MX,1563991019,66,18.62,-100.35,84.61,2.33
472,Kiomboi,0,TZ,1563991020,26,-4.28,34.41,72.91,4.25
473,Swan Hill,95,AU,1563991021,71,-35.34,143.56,50.41,6.13
474,Nazca,24,PE,1563991023,44,-14.83,-74.94,68.41,10.27
475,Zhuhai,0,CN,1563991024,82,40.71,112.04,66.2,4.47
476,Bouca,37,CF,1563991025,90,6.51,18.28,72.55,2.3
477,Stephenville,75,CA,1563991026,77,48.55,-58.59,68.0,9.17
478,Victor Harbor,75,AU,1563991028,93,-35.55,138.62,53.01,6.93
479,Boca do Acre,24,BR,1563991029,38,-8.76,-67.39,93.97,4.34
480,Shenzhen,20,CN,1563991030,83,22.54,114.05,84.2,5.82
481,Grand Forks,1,US,1563991031,51,47.91,-97.06,80.6,17.22
482,Ler,0,NO,1563991033,61,63.2,10.3,80.6,8.05
483,High River,90,CA,1563991034,45,50.58,-113.86,75.0,25.28
484,Horqueta,100,PY,1563991035,72,-23.34,-57.05,59.05,6.76
485,Toba,20,JP,1563991036,88,34.47,136.83,78.8,10.29
486,Carutapera,45,BR,1563991037,65,-1.2,-46.02,84.43,8.14
487,San Juan,0,AR,1563991039,44,-31.54,-68.53,38.89,5.66
488,Porto Belo,0,BR,1563991040,83,-27.15,-48.54,80.01,6.93
489,Kalabo,0,ZM,1563991041,15,-15.0,22.67,64.63,3.94
490,Gaogou,98,CN,1563991042,82,31.12,117.94,80.29,5.77
491,Grand Gaube,75,MU,1563991044,88,-20.01,57.66,69.8,11.41
492,Mbandaka,90,CD,1563991045,59,0.05,18.26,79.03,1.88
493,Muravlenko,29,RU,1563991046,53,63.79,74.5,59.23,16.93
494,Kaitangata,30,NZ,1563991047,82,-46.28,169.85,40.51,3.2
495,Walkerburn,20,GB,1563991048,60,55.62,-3.02,73.4,14.99
496,Kurya,100,RU,1563991050,94,51.6,82.29,59.95,11.01
497,Berdigestyakh,0,RU,1563991051,64,62.1,126.7,55.99,5.12
498,Hami,31,CN,1563991052,32,42.84,93.51,76.87,13.82
499,Sur,99,OM,1563991053,75,22.57,59.53,80.29,17.96
500,Chokurdakh,100,RU,1563991055,73,70.62,147.9,40.15,10.09
501,Kafanchan,77,NG,1563991056,89,9.58,8.3,72.19,3.2
502,Gubkinskiy,0,RU,1563991057,53,64.43,76.5,58.87,18.25
503,Letterkenny,20,IE,1563991059,72,54.95,-7.73,71.6,4.7
504,Kokopo,100,PG,1563991060,97,-4.34,152.27,69.13,2.77
505,Victoria,75,BN,1563990825,94,5.28,115.24,77.0,9.93
506,Lismore,17,AU,1563991062,93,-28.81,153.28,52.0,2.15
507,Turayf,0,SA,1563991064,18,31.68,38.65,93.2,9.17
508,Paamiut,100,GL,1563991065,96,61.99,-49.67,39.07,10.09
509,Antalaha,21,MG,1563991066,95,-14.9,50.28,60.13,4.07
510,Baza,0,ES,1563991067,23,37.49,-2.77,88.0,15.01
511,Hofn,90,IS,1563991069,71,64.25,-15.21,55.4,4.7
512,Takoradi,56,GH,1563991070,77,4.89,-1.75,77.59,7.07
513,Puri,56,ID,1563991071,86,-7.54,112.45,69.13,6.93
514,Sorland,90,NO,1563991072,100,67.67,12.69,59.0,9.17
515,Golden,1,US,1563990980,22,39.76,-105.22,95.0,8.05
516,Groningen,37,NL,1563991010,26,53.22,6.57,96.01,6.93
517,Bafilo,40,TG,1563991077,74,9.35,1.24,78.8,8.05
518,Springfield,40,US,1563991052,47,42.1,-72.59,84.0,9.17
519,Sovetskiy,32,RU,1563991081,80,56.76,48.47,62.29,4.05
520,Lahan,100,NP,1563991083,97,26.71,86.48,76.69,2.01
521,Kargopol,68,RU,1563991084,97,61.51,38.95,59.95,4.12
522,Temiscaming,40,CA,1563991085,56,46.72,-79.1,73.99,20.8
523,Tocopilla,96,CL,1563991087,77,-22.09,-70.2,55.81,12.66
524,Kutum,89,SD,1563991088,33,14.2,24.66,83.89,5.12
525,Yebaishou,86,CN,1563991089,49,41.4,119.64,79.03,3.76
526,Maunabo,40,PR,1563990845,62,18.01,-65.9,91.99,11.41
527,Barsovo,75,RU,1563991093,72,61.17,73.17,62.6,8.95
528,Yantarnyy,0,RU,1563991095,72,54.87,19.94,68.0,8.95
529,Sonamukhi,100,IN,1563991096,77,23.3,87.41,82.63,5.99
530,Shakhtinsk,0,KZ,1563991098,93,49.71,72.59,51.8,4.47
531,Hambantota,47,LK,1563991099,82,6.12,81.12,81.37,17.72
532,Siocon,2,PH,1563991100,85,11.03,124.04,77.59,4.92
533,Faya,0,SA,1563991101,10,18.39,42.45,89.6,11.41
534,Yakeshi,100,CN,1563991103,95,49.28,120.73,53.47,5.82
535,Chunskiy,100,RU,1563991104,82,56.08,99.63,66.07,3.53
536,Daru,87,PG,1563991105,83,-9.07,143.21,73.09,8.84
537,Watertown,40,US,1563991106,42,44.9,-97.12,80.6,6.93
538,Abdanan,0,IR,1563991108,10,32.99,47.42,87.85,9.75
539,Aracaju,40,BR,1563991109,61,-10.92,-37.08,82.4,13.87
540,Nemuro,84,JP,1563991110,96,43.32,145.57,61.57,11.59
541,Okahandja,0,NA,1563991111,6,-21.98,16.91,68.0,4.7
542,Yar-Sale,68,RU,1563991113,57,66.83,70.83,52.03,10.0
543,Richards Bay,0,ZA,1563991056,52,-28.77,32.06,69.67,14.63
544,Osmena,0,PH,1563991115,78,12.17,124.59,83.71,13.76
545,Baoqing,89,CN,1563991116,98,46.32,132.2,62.11,5.28
546,Padang,95,ID,1563991118,75,-0.92,100.36,81.73,6.02
547,Areado,0,BR,1563991119,46,-21.36,-46.15,71.6,4.34
548,Yanji,29,CN,1563991120,98,42.89,129.5,66.43,1.88
549,Rockledge,20,US,1563991121,47,40.08,-75.09,84.99,5.82
550,Coihaique,40,CL,1563991013,70,-45.58,-72.07,50.0,3.44
551,Christchurch,90,NZ,1563991044,100,-43.53,172.64,48.99,3.36
552,Mehran,0,IR,1563991126,9,33.12,46.17,86.0,6.93
553,Dhidhdhoo,100,MV,1563991127,74,6.88,73.1,82.27,11.99
554,Khudumelapye,0,BW,1563991128,25,-23.91,24.95,51.31,6.98
555,Sijunjung,96,ID,1563991129,92,-0.69,100.95,64.63,1.34
556,Komsomolskiy,93,RU,1563991135,65,67.55,63.78,49.87,8.63
557,Makakilo City,1,US,1563991136,94,21.35,-158.09,82.0,9.46
558,Shambu,74,ET,1563991137,96,9.57,37.1,57.25,0.85
559,Havre-Saint-Pierre,75,CA,1563991138,77,50.23,-63.6,66.2,12.75
560,Yeniseysk,100,RU,1563991140,63,58.45,92.17,56.89,2.98
561,Mount Isa,12,AU,1563991141,25,-20.73,139.49,60.8,12.75
562,Loukhi,100,RU,1563991142,81,66.08,33.04,59.95,6.29
